ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_SKILL_L1,2014,37.45,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_SKILL_X,2014,66.85,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_SKILL_TOTAL,2014,49.77,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_SKILL_L3-4,2014,77.24,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_SKILL_L2,2014,28.16,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_SKILL_L1,2014,55.43,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_SKILL_X,2014,47.7,U,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_TOTAL,2014,53.37,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_1,2014,101.86,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_2,2014,85.8,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_3,2014,85.52,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_4,2014,80.32,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_5,2014,57.23,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_6,2014,37.35,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_7,2014,34.75,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_8,2014,59.29,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_9,2014,37.83,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_0,2014,67.62,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_T,OCU_ISCO08_X,2014,62.29,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_TOTAL,2014,53.68,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_1,2014,100.55,,,T30:110,R1:3513
