ref_area,indicator,source,sex,time,obs_value,obs_status,note_indicator,note_source
ARE,SDG_0861_SEX_RT,BA:716,SEX_M,2022,5.58,,,R1:3513
ARE,SDG_0861_SEX_RT,BA:716,SEX_F,2022,17.62,,,R1:3513
ARE,SDG_0861_SEX_RT,BA:716,SEX_T,2021,10.72,,,R1:3513
ARE,SDG_0861_SEX_RT,BA:716,SEX_M,2021,6.4,,,R1:3513
ARE,SDG_0861_SEX_RT,BA:716,SEX_F,2021,17.68,,,R1:3513
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2022,15.87,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2022,13.99,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2022,17.85,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2021,16.12,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2021,13.77,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2021,18.56,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2020,22.33,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2020,21,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2020,23.67,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2019,19.23,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2019,16.83,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2019,21.69,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2018,19.02,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2018,15.53,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2018,22.49,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2017,19.25,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2017,15.78,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2017,22.78,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2014,19.67,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2014,15.14,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2014,24.51,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2013,19.07,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2013,14.38,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2013,24,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2012,18.41,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2012,13.78,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2012,23.1,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2011,18.4,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2011,13.89,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2011,22.98,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2010,19.46,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2010,14.73,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2010,24.22,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2009,20.04,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2009,15.8,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2009,24.34,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2008,19.42,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2008,14.52,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2008,24.43,,I13:3888,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2006,19.51,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2006,14.25,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2006,24.76,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2005,19.87,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2005,15.32,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2005,24.46,,,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_T,2004,20.98,B,I11:264,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_M,2004,16.1,B,I11:264,R1:3513_S4:33
ARG,SDG_0861_SEX_RT,BA:150,SEX_F,2004,25.82,B,I11:264,R1:3513_S4:33
ARM,SDG_0861_SEX_RT,BA:867,SEX_T,2021,23.49,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_M,2021,29.42,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_F,2021,17.43,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_T,2020,26.08,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_M,2020,28.68,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_F,2020,23.3,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_T,2019,26.04,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_M,2019,29.66,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_F,2019,22.1,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_T,2018,29.52,B,I11:264,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_M,2018,30.45,B,I11:264,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_F,2018,28.65,B,I11:264,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_T,2017,36.59,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_M,2017,35.72,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_F,2017,37.53,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_T,2016,36.58,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_M,2016,35.39,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_F,2016,37.83,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_T,2015,35.56,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_M,2015,36.35,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_F,2015,34.8,,,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_T,2014,38.03,B,I11:264,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_M,2014,37.52,B,I11:264,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BA:867,SEX_F,2014,38.49,B,I11:264,R1:3513_T3:240
ARM,SDG_0861_SEX_RT,BB:173,SEX_T,2013,34.89,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_M,2013,27.23,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_F,2013,41.61,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_T,2012,34.62,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_M,2012,27.16,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_F,2012,40.85,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_T,2011,37.22,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_M,2011,29.99,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_F,2011,43.36,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_T,2010,38.29,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_M,2010,29.48,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_F,2010,45.27,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_T,2009,38.54,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_M,2009,34.12,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_F,2009,42.1,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_T,2008,38.14,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_M,2008,33.28,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_F,2008,41.94,,,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_T,2007,38.67,B,I11:264,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_M,2007,31.12,B,I11:264,R1:3513
ARM,SDG_0861_SEX_RT,BB:173,SEX_F,2007,44.87,B,I11:264,R1:3513
AUS,SDG_0861_SEX_RT,BA:518,SEX_T,2017,8.94,,,S14:4147_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_M,2017,8.89,,,S14:4147_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_F,2017,8.96,,,S14:4147_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_T,2016,8.69,,,S3:16_S4:30_S5:38_T2:85_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_M,2016,8.42,,,S3:16_S4:30_S5:38_T2:85_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_F,2016,9.06,,,S3:16_S4:30_S5:38_T2:85_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_T,2015,9.8,,,S3:16_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_M,2015,9.45,,,S3:16_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_F,2015,10.2,,,S3:16_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_T,2014,10.09,,,S3:16_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_M,2014,9.73,,,S3:16_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_F,2014,10.5,,,S3:16_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_T,2013,11.02,,,S3:16_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_M,2013,10.22,,,S3:16_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_F,2013,11.77,,,S3:16_S4:30_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_T,2012,9.91,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_M,2012,9.44,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_F,2012,10.4,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_T,2011,10.59,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_M,2011,9.48,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_F,2011,11.74,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_T,2010,11.32,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_M,2010,10.8,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_F,2010,11.85,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_T,2009,11.4,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_M,2009,10.29,,,S3:16_S4:34_S5:38_T3:2479
AUS,SDG_0861_SEX_RT,BA:518,SEX_F,2009,12.58,,,S3:16_S4:34_S5:38_T3:2479
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2022,12.16,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2022,14.06,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2022,10.14,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2021,12.26,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2021,14.07,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2021,10.34,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2020,11.42,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2020,14.21,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2020,8.5,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2019,11.01,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2019,12.72,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2019,9.22,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2018,10.42,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2018,12.01,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2018,8.75,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2017,10.45,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2017,13.19,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2017,7.54,,,R1:3513
