ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_YGE15,2019,16.446,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_Y15-24,2019,33.384,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_YGE25,2019,10.485,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_YGE15,2019,16.546,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_Y15-24,2019,29.072,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_YGE25,2019,12.155,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_YGE15,2011,16.77,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_Y15-24,2011,34.76,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_YGE25,2011,8.11,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_YGE15,2011,14.7,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_Y15-24,2011,33.2,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_YGE25,2011,6,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_YGE15,2011,18.71,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_Y15-24,2011,36.17,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_YGE25,2011,10.12,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_YGE15,2010,9.43,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_Y15-24,2010,19.42,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_T,AGE_YTHADULT_YGE25,2010,5.61,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_YGE15,2010,7.91,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_Y15-24,2010,17.69,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_M,AGE_YTHADULT_YGE25,2010,4.53,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_YGE15,2010,10.87,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_Y15-24,2010,20.86,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BA:13951,SEX_F,AGE_YTHADULT_YGE25,2010,6.7,,,T5:115,
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE15,2009,3.782,,,T5:1429,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_Y15-24,2009,9.139,,,T5:1429,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE25,2009,2.137,,,T5:1429,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_YGE15,2009,4.672,,,T5:1429,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_Y15-24,2009,11.412,,,T5:1429,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_YGE25,2009,2.673,,,T5:1429,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_YGE15,2009,2.821,,,T5:1429,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_Y15-24,2009,6.812,,,T5:1429,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_YGE25,2009,1.549,,,T5:1429,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE15,2004,23.643,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_Y15-24,2004,54.311,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE25,2004,11.394,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_YGE15,2004,21.306,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_Y15-24,2004,51.129,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_YGE25,2004,10.294,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_YGE15,2004,26.133,B,,I11:264,R1:3513
